StudentID,Age,Gender,SchoolType,YearInSchool,InterventionGroup,StressLevel,SleepHours,StudyHoursPerWeek,GPA,AcademicSelfEfficacy,SocialSupport,LifeSatisfaction,Motivation,AnxietySymptoms,ExerciseFrequency,FinancialStress,Employment
S0036,19,Male,Public University,Sophomore,Mindfulness,4.12,8.3,14.5,3.31,4,5,4,4,2,4,Low,Part-time
S0037,23,Female,Private University,Graduate,Control,7.12,5.7,9.8,2.68,2,2,2,2,4,1,Very High,Part-time
S0038,20,Male,Public University,Junior,Study Skills,5.01,7.6,17.8,3.42,4,4,3,4,3,2,Moderate,Not employed
S0039,18,Female,Community College,Freshman,Mindfulness,4.34,8.1,13.2,3.19,4,4,4,3,2,3,Low,Part-time
S0040,21,Male,Public University,Senior,Control,6.56,6.3,10.9,2.86,3,3,2,3,4,2,High,Part-time
S0041,19,Female,Public University,Sophomore,Study Skills,4.67,7.9,16.6,3.41,4,4,4,4,2,3,Moderate,Not employed
S0042,20,Male,Private University,Junior,Mindfulness,4.45,8.0,15.1,3.33,4,4,4,4,2,2,Low,Part-time
S0043,22,Female,Public University,Senior,Control,6.01,6.8,12.4,2.98,3,3,3,3,3,2,High,Part-time
S0044,18,Male,Community College,Freshman,Study Skills,4.78,7.8,17.9,3.45,4,4,4,4,2,3,Moderate,Not employed
S0045,19,Female,Public University,Sophomore,Mindfulness,4.23,8.1,14.3,3.28,4,4,4,4,2,3,Low,Part-time
S0046,21,Male,Public University,Graduate,Control,5.89,7.0,13.5,3.11,3,3,3,3,3,2,Moderate,Part-time
S0047,20,Female,Private University,Junior,Study Skills,4.89,7.7,18.5,3.49,4,4,4,4,2,2,Low,Not employed
S0048,18,Male,Public University,Freshman,Mindfulness,4.34,8.2,13.8,3.25,4,4,4,3,2,3,Low,Not employed
S0049,22,Female,Community College,Senior,Control,7.23,5.6,9.2,2.61,2,2,2,2,4,1,Very High,Full-time
S0050,19,Male,Public University,Sophomore,Study Skills,4.67,7.9,16.9,3.43,4,4,4,4,2,3,Moderate,Part-time
S0051,20,Female,Public University,Junior,Mindfulness,4.12,8.3,15.6,3.38,4,5,4,4,2,4,Low,Not employed
S0052,21,Male,Private University,Senior,Control,6.45,6.4,11.3,2.91,3,3,2,3,4,2,High,Part-time
S0053,18,Female,Public University,Freshman,Study Skills,4.56,8.0,18.2,3.47,4,4,4,4,2,3,Low,Not employed
S0054,19,Male,Community College,Sophomore,Mindfulness,4.78,7.7,14.6,3.22,4,4,3,4,2,2,Moderate,Part-time
S0055,23,Female,Public University,Graduate,Control,6.67,6.1,10.7,2.83,2,3,2,3,4,1,High,Full-time
S0056,20,Male,Public University,Junior,Study Skills,5.01,7.6,17.6,3.41,4,4,3,4,3,2,Moderate,Not employed
S0057,18,Female,Private University,Freshman,Mindfulness,4.23,8.1,13.5,3.23,4,4,4,3,2,3,Low,Part-time
S0058,21,Male,Public University,Senior,Control,6.12,6.7,12.1,2.96,3,3,3,3,3,2,High,Part-time
S0059,19,Female,Public University,Sophomore,Study Skills,4.67,7.9,16.7,3.42,4,4,4,4,2,3,Moderate,Not employed
S0060,20,Male,Community College,Junior,Mindfulness,4.89,7.6,14.4,3.18,4,4,3,3,3,2,Moderate,Full-time
S0061,22,Female,Public University,Graduate,Control,5.78,7.1,13.9,3.14,3,3,3,3,3,2,Moderate,Part-time
S0062,18,Male,Public University,Freshman,Study Skills,4.45,8.1,18.0,3.46,4,4,4,4,2,3,Low,Not employed
S0063,19,Female,Private University,Sophomore,Mindfulness,4.01,8.4,15.2,3.35,4,5,4,4,2,4,Low,Part-time
S0064,21,Male,Public University,Senior,Control,6.78,6.2,10.5,2.81,2,3,2,2,4,1,Very High,Part-time
S0065,20,Female,Community College,Junior,Study Skills,5.12,7.5,17.1,3.37,4,4,3,4,3,2,Moderate,Part-time
S0066,18,Male,Public University,Freshman,Mindfulness,4.34,8.0,13.7,3.22,4,4,4,3,2,3,Moderate,Not employed
S0067,22,Female,Public University,Graduate,Control,5.89,7.0,14.2,3.13,3,3,3,3,3,2,Moderate,Part-time
S0068,19,Male,Private University,Sophomore,Study Skills,4.78,7.8,17.7,3.44,4,4,4,4,2,2,Low,Not employed
S0069,20,Female,Public University,Junior,Mindfulness,4.23,8.2,15.7,3.39,4,4,4,4,2,3,Low,Part-time
S0070,21,Male,Community College,Senior,Control,6.23,6.6,11.6,2.92,3,3,3,3,3,2,High,Full-time
S0071,18,Female,Public University,Freshman,Study Skills,4.89,7.7,18.4,3.48,4,4,4,4,2,3,Moderate,Not employed
S0072,19,Male,Public University,Sophomore,Mindfulness,4.12,8.3,14.6,3.30,4,5,4,4,2,4,Low,Part-time
S0073,23,Female,Private University,Graduate,Control,7.01,5.8,9.6,2.67,2,2,2,2,4,1,Very High,Part-time
S0074,20,Male,Public University,Junior,Study Skills,5.01,7.6,17.9,3.43,4,4,3,4,3,2,Moderate,Not employed
S0075,18,Female,Community College,Freshman,Mindfulness,4.45,8.0,13.4,3.20,4,4,4,3,2,3,Low,Part-time
S0076,21,Male,Public University,Senior,Control,6.45,6.4,10.8,2.87,3,3,2,3,4,2,High,Part-time
S0077,19,Female,Public University,Sophomore,Study Skills,4.67,7.9,16.8,3.42,4,4,4,4,2,3,Moderate,Not employed
S0078,20,Male,Private University,Junior,Mindfulness,4.56,7.9,15.3,3.34,4,4,4,4,2,2,Low,Part-time
S0079,22,Female,Public University,Senior,Control,6.12,6.7,12.3,2.99,3,3,3,3,3,2,High,Part-time
S0080,18,Male,Community College,Freshman,Study Skills,4.78,7.8,18.1,3.47,4,4,4,4,2,3,Moderate,Not employed
S0081,19,Female,Public University,Sophomore,Mindfulness,4.23,8.1,14.5,3.29,4,4,4,4,2,3,Low,Part-time
S0082,21,Male,Public University,Graduate,Control,5.67,7.2,13.6,3.12,3,3,3,3,3,2,Moderate,Part-time
S0083,20,Female,Private University,Junior,Study Skills,4.89,7.7,18.6,3.50,4,4,4,4,2,2,Low,Not employed
S0084,18,Male,Public University,Freshman,Mindfulness,4.34,8.2,13.9,3.26,4,4,4,3,2,3,Low,Not employed
S0085,22,Female,Community College,Senior,Control,7.34,5.5,9.1,2.59,2,2,2,2,4,1,Very High,Full-time
S0086,19,Male,Public University,Sophomore,Study Skills,4.67,7.9,17.0,3.44,4,4,4,4,2,3,Moderate,Part-time
S0087,20,Female,Public University,Junior,Mindfulness,4.12,8.3,15.8,3.40,4,5,4,4,2,4,Low,Not employed
S0088,21,Male,Private University,Senior,Control,6.56,6.3,11.2,2.90,3,3,2,3,4,2,High,Part-time
S0089,18,Female,Public University,Freshman,Study Skills,4.56,8.0,18.3,3.48,4,4,4,4,2,3,Low,Not employed
S0090,19,Male,Community College,Sophomore,Mindfulness,4.89,7.6,14.7,3.23,4,4,3,4,3,2,Moderate,Part-time
S0091,23,Female,Public University,Graduate,Control,6.78,6.0,10.6,2.82,2,3,2,3,4,1,High,Full-time
S0092,20,Male,Public University,Junior,Study Skills,5.01,7.6,17.8,3.42,4,4,3,4,3,2,Moderate,Not employed
S0093,18,Female,Private University,Freshman,Mindfulness,4.23,8.1,13.6,3.24,4,4,4,3,2,3,Low,Part-time
S0094,21,Male,Public University,Senior,Control,6.23,6.6,12.0,2.95,3,3,3,3,3,2,High,Part-time
S0095,19,Female,Public University,Sophomore,Study Skills,4.67,7.9,16.9,3.43,4,4,4,4,2,3,Moderate,Not employed
S0096,20,Male,Community College,Junior,Mindfulness,4.78,7.7,14.5,3.20,4,4,3,3,3,2,Moderate,Full-time
S0097,22,Female,Public University,Graduate,Control,5.89,7.0,14.1,3.15,3,3,3,3,3,2,Moderate,Part-time
S0098,18,Male,Public University,Freshman,Study Skills,4.45,8.1,18.2,3.47,4,4,4,4,2,3,Low,Not employed
S0099,19,Female,Private University,Sophomore,Mindfulness,4.01,8.4,15.4,3.37,4,5,4,4,2,4,Low,Part-time
S0100,21,Male,Public University,Senior,Control,6.89,6.1,10.4,2.80,2,3,2,2,4,1,Very High,Part-time
S0101,20,Female,Community College,Junior,Study Skills,5.12,7.5,17.2,3.38,4,4,3,4,3,2,Moderate,Part-time
S0102,18,Male,Public University,Freshman,Mindfulness,4.34,8.0,13.8,3.23,4,4,4,3,2,3,Moderate,Not employed
S0103,22,Female,Public University,Graduate,Control,5.78,7.1,14.0,3.14,3,3,3,3,3,2,Moderate,Part-time
S0104,19,Male,Private University,Sophomore,Study Skills,4.78,7.8,17.8,3.45,4,4,4,4,2,2,Low,Not employed
S0105,20,Female,Public University,Junior,Mindfulness,4.23,8.2,15.9,3.40,4,4,4,4,2,3,Low,Part-time
S0106,21,Male,Community College,Senior,Control,6.34,6.5,11.7,2.93,3,3,3,3,3,2,High,Full-time
S0107,18,Female,Public University,Freshman,Study Skills,4.89,7.7,18.5,3.49,4,4,4,4,2,3,Moderate,Not employed
S0108,19,Male,Public University,Sophomore,Mindfulness,4.12,8.3,14.7,3.31,4,5,4,4,2,4,Low,Part-time
S0109,23,Female,Private University,Graduate,Control,7.12,5.7,9.7,2.68,2,2,2,2,4,1,Very High,Part-time
S0110,20,Male,Public University,Junior,Study Skills,5.01,7.6,18.0,3.44,4,4,3,4,3,2,Moderate,Not employed
S0111,18,Female,Community College,Freshman,Mindfulness,4.45,8.0,13.5,3.21,4,4,4,3,2,3,Low,Part-time
S0112,21,Male,Public University,Senior,Control,6.56,6.3,10.9,2.88,3,3,2,3,4,2,High,Part-time
S0113,19,Female,Public University,Sophomore,Study Skills,4.67,7.9,16.9,3.43,4,4,4,4,2,3,Moderate,Not employed
S0114,20,Male,Private University,Junior,Mindfulness,4.45,8.0,15.2,3.34,4,4,4,4,2,2,Low,Part-time
S0115,22,Female,Public University,Senior,Control,6.01,6.8,12.5,2.99,3,3,3,3,3,2,High,Part-time
S0116,18,Male,Community College,Freshman,Study Skills,4.78,7.8,18.2,3.48,4,4,4,4,2,3,Moderate,Not employed
S0117,19,Female,Public University,Sophomore,Mindfulness,4.23,8.1,14.6,3.30,4,4,4,4,2,3,Low,Part-time
S0118,21,Male,Public University,Graduate,Control,5.89,7.0,13.7,3.13,3,3,3,3,3,2,Moderate,Part-time
S0119,20,Female,Private University,Junior,Study Skills,4.89,7.7,18.7,3.51,4,4,4,4,2,2,Low,Not employed
S0120,18,Male,Public University,Freshman,Mindfulness,4.34,8.2,14.0,3.27,4,4,4,3,2,3,Low,Not employed
S0121,22,Female,Community College,Senior,Control,7.45,5.4,9.0,2.58,2,2,2,2,4,1,Very High,Full-time
S0122,19,Male,Public University,Sophomore,Study Skills,4.67,7.9,17.1,3.45,4,4,4,4,2,3,Moderate,Part-time
S0123,20,Female,Public University,Junior,Mindfulness,4.12,8.3,16.0,3.41,4,5,4,4,2,4,Low,Not employed
S0124,21,Male,Private University,Senior,Control,6.67,6.2,11.1,2.89,3,3,2,3,4,2,High,Part-time
S0125,18,Female,Public University,Freshman,Study Skills,4.56,8.0,18.4,3.49,4,4,4,4,2,3,Low,Not employed
S0126,19,Male,Community College,Sophomore,Mindfulness,4.78,7.7,14.8,3.24,4,4,3,4,2,2,Moderate,Part-time
S0127,23,Female,Public University,Graduate,Control,6.89,6.0,10.5,2.81,2,3,2,3,4,1,High,Full-time
S0128,20,Male,Public University,Junior,Study Skills,5.01,7.6,17.9,3.43,4,4,3,4,3,2,Moderate,Not employed
S0129,18,Female,Private University,Freshman,Mindfulness,4.23,8.1,13.7,3.25,4,4,4,3,2,3,Low,Part-time
S0130,21,Male,Public University,Senior,Control,6.34,6.5,12.0,2.96,3,3,3,3,3,2,High,Part-time
S0131,19,Female,Public University,Sophomore,Study Skills,4.67,7.9,17.0,3.44,4,4,4,4,2,3,Moderate,Not employed
S0132,20,Male,Community College,Junior,Mindfulness,4.89,7.6,14.6,3.21,4,4,3,3,3,2,Moderate,Full-time
S0133,22,Female,Public University,Graduate,Control,5.78,7.1,14.2,3.15,3,3,3,3,3,2,Moderate,Part-time
S0134,18,Male,Public University,Freshman,Study Skills,4.45,8.1,18.3,3.48,4,4,4,4,2,3,Low,Not employed
S0135,19,Female,Private University,Sophomore,Mindfulness,4.01,8.4,15.5,3.38,4,5,4,4,2,4,Low,Part-time
S0136,21,Male,Public University,Senior,Control,7.01,5.9,10.3,2.79,2,3,2,2,4,1,Very High,Part-time
S0137,20,Female,Community College,Junior,Study Skills,5.12,7.5,17.3,3.39,4,4,3,4,3,2,Moderate,Part-time
S0138,18,Male,Public University,Freshman,Mindfulness,4.34,8.0,13.9,3.24,4,4,4,3,2,3,Moderate,Not employed
S0139,22,Female,Public University,Graduate,Control,5.89,7.0,14.3,3.16,3,3,3,3,3,2,Moderate,Part-time
S0140,19,Male,Private University,Sophomore,Study Skills,4.78,7.8,17.9,3.46,4,4,4,4,2,2,Low,Not employed
S0141,20,Female,Public University,Junior,Mindfulness,4.23,8.2,16.1,3.42,4,4,4,4,2,3,Low,Part-time
S0142,21,Male,Community College,Senior,Control,6.45,6.4,11.8,2.94,3,3,3,3,4,2,High,Full-time
S0143,18,Female,Public University,Freshman,Study Skills,4.89,7.7,18.6,3.50,4,4,4,4,2,3,Moderate,Not employed
S0144,19,Male,Public University,Sophomore,Mindfulness,4.12,8.3,14.8,3.32,4,5,4,4,2,4,Low,Part-time
S0145,23,Female,Private University,Graduate,Control,7.23,5.6,9.8,2.69,2,2,2,2,4,1,Very High,Part-time
S0146,20,Male,Public University,Junior,Study Skills,5.01,7.6,18.1,3.45,4,4,3,4,3,2,Moderate,Not employed
S0147,18,Female,Community College,Freshman,Mindfulness,4.45,8.0,13.6,3.22,4,4,4,3,2,3,Low,Part-time
S0148,21,Male,Public University,Senior,Control,6.67,6.2,10.8,2.87,3,3,2,3,4,2,High,Part-time
S0149,19,Female,Public University,Sophomore,Study Skills,4.67,7.9,17.0,3.44,4,4,4,4,2,3,Moderate,Not employed
S0150,20,Male,Private University,Junior,Mindfulness,4.56,7.9,15.4,3.35,4,4,4,4,2,2,Low,Part-time
S0151,22,Female,Public University,Senior,Control,6.12,6.7,12.6,3.00,3,3,3,3,3,2,High,Part-time
S0152,18,Male,Community College,Freshman,Study Skills,4.78,7.8,18.3,3.49,4,4,4,4,2,3,Moderate,Not employed
S0153,19,Female,Public University,Sophomore,Mindfulness,4.23,8.1,14.7,3.31,4,4,4,4,2,3,Low,Part-time
S0154,21,Male,Public University,Graduate,Control,5.67,7.2,13.8,3.14,3,3,3,3,3,2,Moderate,Part-time
S0155,20,Female,Private University,Junior,Study Skills,4.89,7.7,18.8,3.52,4,4,4,4,2,2,Low,Not employed
S0156,18,Male,Public University,Freshman,Mindfulness,4.34,8.2,14.1,3.28,4,4,4,3,2,3,Low,Not employed
S0157,22,Female,Community College,Senior,Control,7.56,5.3,8.9,2.57,2,2,2,2,5,1,Very High,Full-time
