record_id,line_id,machine_id,shift,temperature_c,thickness_mm,weight_g,vibration_rms_mm_s,pressure_psi,humidity_pct,defect_flag,failure_flag
58,L1,M2,Evening,74.76,,583.29,1.355,109.15,45.97,0.0,0.0
59,L1,M2,Evening,72.17,1.0772,593.28,2.588,123.73,41.29,0.0,0.0
60,L2,M5,Day,72.02,1.0518,581.29,1.916,119.71,38.4,0.0,0.0
61,L2,M4,Evening,75.23,1.0504,579.87,1.732,107.08,41.94,0.0,0.0
62,L2,M4,Night,69.91,1.0493,586.3,2.416,129.32,,0.0,0.0
63,L4,M10,Day,71.62,,579.31,1.758,114.12,42.85,0.0,0.0
64,L2,M4,Evening,72.51,1.0457,586.82,2.73,113.52,41.54,0.0,0.0
65,L2,M5,Night,77.41,1.0328,583.64,2.271,121.6,37.97,0.0,0.0
66,L3,M6,Evening,71.59,0.9636,,1.805,129.19,44.58,0.0,0.0
67,L1,M2,Evening,71.75,0.999,587.66,2.863,111.87,37.48,0.0,0.0
68,L4,M9,Evening,75.03,1.0037,589.28,1.758,120.49,48.8,,0.0
69,L1,M2,Day,71.72,,575.23,2.297,123.43,45.41,0.0,0.0
70,L4,M9,Day,72.45,1.0232,579.92,2.12,125.54,37.71,0.0,0.0
71,L4,M10,Night,,1.0124,582.42,2.521,121.41,43.45,0.0,0.0
72,L1,M2,Night,72.39,1.0451,585.28,2.625,117.06,,,0.0
73,L1,M1,Night,69.17,0.9205,576.93,2.013,113.38,46.6,0.0,0.0
74,L4,M9,Night,70.06,1.0527,594.27,1.699,120.69,51.7,0.0,0.0
75,L3,M6,Evening,70.81,1.0174,580.51,2.184,111.42,35.62,0.0,0.0
76,L3,M7,Evening,65.75,0.9178,569.43,1.729,96.63,45.58,0.0,0.0
77,L4,M9,Night,67.71,1.0097,573.88,2.805,123.49,,0.0,0.0
78,L1,M1,Evening,76.92,0.9889,575.45,2.055,127.23,48.36,0.0,0.0
79,L2,M4,Evening,79.61,1.0078,580.46,1.854,101.1,46.07,0.0,0.0
80,L1,M2,Night,69.88,0.9767,587.11,2.074,111.92,41.24,0.0,0.0
81,L4,M10,Night,72.94,0.9867,576.35,,,43.4,0.0,0.0
82,L3,M6,Day,70.78,1.0326,583.72,,,41.02,0.0,0.0
83,L2,M4,Day,,1.0781,586.16,,,50.38,0.0,0.0
84,L1,M3,Day,74.8,1.0381,588.99,,,45.11,0.0,0.0
85,L2,M4,Evening,75.18,1.0717,598.37,,,54.51,0.0,1.0
86,L2,M4,Day,71.61,1.0161,578.64,,,44.7,0.0,0.0
87,L3,M7,Evening,67.48,0.9643,574.69,,,41.46,0.0,0.0
88,L3,M8,Evening,,0.9947,584.8,,,37.43,0.0,0.0
89,L4,M9,Day,71.11,0.9833,582.08,,,35.98,0.0,0.0
90,L2,M4,Evening,71.94,1.0714,594.94,,,37.08,0.0,0.0
91,L1,M2,Day,70.38,0.9928,582.34,,,46.34,0.0,0.0
92,L3,M8,Day,67.3,0.9688,575.7,,,47.54,0.0,0.0
93,L4,M9,Night,75.72,1.0413,586.26,,,37.09,0.0,0.0
94,L3,M7,Day,72.2,0.9933,585.01,,,,0.0,0.0
95,L4,M10,Day,72.98,1.0092,584.84,,,42.58,0.0,0.0
96,L2,M4,Evening,79.2,1.0848,589.32,,,45.73,0.0,0.0
97,L3,M8,Night,68.69,0.9476,581.14,,,53.06,0.0,0.0
98,L2,M5,Day,71.85,1.0685,591.32,,,49.48,0.0,0.0
99,L1,M3,Evening,77.31,1.0178,588.33,,,43.66,0.0,0.0
100,L1,M1,Day,73.35,0.9907,582.5,,,40.54,0.0,0.0
101,L1,M1,Day,69.41,1.0098,579.95,,,34.24,0.0,0.0
102,L3,M7,Evening,71.02,0.9425,576.13,,,41.4,0.0,0.0
103,L2,M5,Evening,73.31,1.0777,592.25,,,43.94,0.0,0.0
104,L3,M7,Evening,68.04,0.9745,573.87,,,40.06,0.0,0.0
105,L4,M10,Evening,76.82,1.0043,582.19,,,44.34,0.0,0.0
106,L1,M1,Night,75.27,1.0315,580.55,,,45.38,0.0,0.0
107,L2,M4,Evening,72.0,1.0289,582.45,,,43.88,0.0,0.0
108,L4,M9,Day,74.41,0.9777,584.61,,,41.75,0.0,0.0
109,L1,M3,Night,68.87,0.9533,577.22,,,45.84,0.0,0.0
110,L1,M1,Day,70.78,1.0182,581.69,,,47.21,0.0,0.0
111,L2,M4,Evening,74.02,1.0116,574.13,,,39.55,0.0,0.0
112,L1,M1,Day,69.84,1.0526,587.94,,,,0.0,0.0
113,L4,M10,Day,73.12,0.9575,579.83,,,44.51,0.0,0.0
114,L4,M10,Night,69.42,1.0709,596.49,,,45.09,0.0,0.0
115,L3,M6,Night,69.18,0.9863,577.37,,,48.54,0.0,1.0
116,L4,M9,Evening,74.37,,582.46,,,,0.0,0.0
117,L4,M10,Evening,73.9,1.0037,581.54,,,49.77,0.0,0.0
118,L1,M1,Day,69.73,1.012,588.85,,,46.44,0.0,0.0
119,L4,M9,Day,71.56,1.0189,581.03,,,,0.0,0.0
120,L3,M6,Day,71.89,1.0131,582.44,,,46.81,0.0,0.0
121,L4,M10,Evening,75.75,1.0234,584.91,1.901,112.36,39.28,0.0,0.0
122,L4,M9,Evening,72.06,1.0245,582.89,2.643,123.39,45.54,0.0,0.0
123,L2,M5,Evening,75.75,1.0391,580.9,2.196,136.5,44.83,0.0,0.0
124,L1,M2,Day,73.88,0.9983,580.83,2.294,111.46,43.96,0.0,0.0
125,L1,M1,Night,66.33,1.0092,586.11,2.265,120.19,44.36,0.0,0.0
126,L2,M5,Evening,76.86,0.9987,574.76,2.469,131.3,35.59,0.0,0.0
127,L4,M9,Evening,72.84,0.9796,579.03,2.072,119.36,42.26,0.0,0.0
128,L4,M9,Evening,75.93,1.0423,579.88,1.481,123.62,45.46,0.0,0.0
129,L1,M3,Evening,71.59,1.0051,586.39,2.16,111.5,45.8,0.0,0.0
130,L3,M6,Day,65.49,0.9745,570.34,1.739,123.43,39.86,0.0,0.0
131,L2,M5,Day,69.93,1.0506,581.25,1.789,118.5,51.33,0.0,0.0
132,L1,M2,Night,70.62,1.0104,,2.235,127.89,40.67,0.0,0.0
133,L1,M1,Day,72.65,0.9838,586.53,2.495,129.5,49.85,0.0,0.0
134,L2,M4,Day,71.74,1.0267,581.8,2.009,140.72,47.14,0.0,0.0
135,L4,M10,Day,74.6,1.0259,579.29,2.124,124.64,41.77,0.0,0.0
136,L2,M4,Day,69.85,1.0206,591.06,2.681,122.61,53.88,0.0,0.0
137,L3,M8,Night,68.33,0.9922,572.14,2.096,121.56,39.03,0.0,0.0
138,L3,M8,Evening,68.47,0.9289,563.32,3.041,117.17,49.6,0.0,0.0
139,L2,M5,Evening,73.87,1.0809,588.67,2.226,122.71,50.0,0.0,0.0
140,L4,M9,Day,73.12,1.0342,580.22,1.296,117.64,41.65,0.0,0.0
141,L4,M10,Evening,72.35,1.0277,577.11,2.301,121.35,51.96,0.0,0.0
142,L2,M4,Evening,74.54,1.0795,589.9,2.152,130.54,43.75,0.0,0.0
143,L2,M4,Day,76.52,1.1,589.22,2.516,111.95,46.44,0.0,0.0
144,L2,M4,Evening,74.06,1.0804,583.61,2.269,129.12,46.3,0.0,0.0
145,L2,M5,Day,76.09,0.9948,573.18,1.945,130.54,44.33,0.0,0.0
146,L1,M3,Evening,70.68,0.9616,581.29,1.51,119.06,49.05,0.0,0.0
147,L3,M8,Evening,72.82,0.9613,580.15,1.916,103.03,48.97,0.0,0.0
148,L3,M6,Day,73.6,0.9808,577.97,1.66,115.14,36.26,0.0,0.0
149,L1,M1,Day,65.82,1.0155,590.48,1.768,130.38,51.52,0.0,0.0
150,L2,M5,Evening,73.51,1.0282,576.91,2.235,119.82,36.69,0.0,0.0
151,L4,M10,Evening,75.94,1.0256,574.42,2.668,112.01,50.16,0.0,0.0
152,L1,M3,Night,69.99,0.9773,574.73,2.158,115.96,50.63,0.0,0.0
153,L1,M3,Evening,74.43,0.9817,578.3,1.522,126.72,39.55,0.0,0.0
154,L2,M4,Day,72.49,1.0078,581.84,2.178,124.37,42.95,0.0,0.0
155,L4,M9,Day,73.22,0.9923,578.18,2.479,118.09,39.47,0.0,0.0
156,L1,M2,Evening,73.11,0.9594,578.52,1.756,117.07,43.93,0.0,0.0
157,L3,M7,Day,72.92,0.9507,569.8,1.946,116.87,43.46,0.0,0.0
158,L4,M10,Evening,75.14,1.0516,591.35,2.006,112.62,48.9,0.0,0.0
159,L1,M1,Night,,0.9715,577.31,1.686,132.92,51.55,0.0,1.0
160,L3,M7,Evening,70.47,1.059,590.3,2.259,117.42,51.98,0.0,0.0
161,L2,M5,Day,,1.0648,586.9,1.952,129.74,42.19,0.0,0.0
162,L3,M7,Evening,70.42,0.9855,,2.168,132.17,43.95,0.0,0.0
163,L3,M7,Evening,72.49,0.9542,579.19,1.645,127.99,36.58,0.0,0.0
164,L3,M7,Evening,70.45,1.001,582.32,1.825,116.55,40.97,0.0,0.0
165,L1,M1,Night,71.22,0.9827,581.83,2.289,123.23,49.82,0.0,0.0
166,L4,M9,Day,,1.0237,588.54,1.851,119.81,53.08,0.0,0.0
167,L2,M5,Night,74.68,1.1268,591.13,2.691,112.77,38.83,,0.0
168,L1,M3,Night,69.68,0.9971,583.31,1.84,122.59,42.04,0.0,0.0
169,L1,M2,Day,75.0,1.0345,582.31,2.09,110.57,44.87,0.0,0.0
170,L3,M8,Day,68.98,0.9589,583.91,2.373,129.5,46.4,0.0,0.0
171,L3,M6,Day,64.9,0.979,574.93,1.433,116.28,40.95,0.0,0.0
172,L1,M1,Day,69.48,,593.25,1.296,121.61,,0.0,0.0
173,L3,M6,Day,65.32,,576.69,1.39,122.27,42.63,0.0,0.0
174,L1,M1,Evening,72.62,1.0544,577.2,2.505,117.93,44.93,,0.0
175,L3,M6,Day,70.05,1.0012,580.74,1.779,124.69,47.73,0.0,0.0
176,L1,M1,Day,76.19,0.9831,575.24,3.023,116.2,45.03,0.0,0.0
177,L3,M6,Night,69.32,0.999,584.12,1.774,126.97,42.82,0.0,0.0
178,L2,M5,Day,73.45,1.0792,583.07,2.074,109.23,,0.0,0.0
179,L4,M9,Night,73.57,1.0387,580.86,2.617,121.01,44.56,0.0,0.0
180,L1,M1,Day,66.47,0.9529,566.78,2.802,135.51,43.15,0.0,0.0
181,L2,M5,Day,74.59,1.0282,579.99,2.825,112.0,43.71,0.0,
182,L1,M2,Evening,75.43,0.9926,567.29,2.483,114.58,52.99,0.0,0.0
183,L4,M9,Evening,70.8,1.0178,573.5,2.41,124.11,47.8,0.0,0.0
184,L4,M10,Night,74.36,1.0386,586.89,2.237,121.44,43.52,0.0,0.0
185,L2,M4,Evening,76.35,1.0553,588.36,2.311,122.81,48.48,0.0,0.0
186,L3,M8,Night,67.46,0.9399,577.32,1.78,123.91,43.33,0.0,0.0
187,L4,M9,Day,,1.0314,577.68,1.673,125.08,50.87,0.0,0.0
188,L3,M7,Day,75.68,0.9983,579.63,1.999,128.88,,0.0,0.0
189,L3,M7,Night,68.95,0.9968,579.73,1.932,123.28,44.46,0.0,0.0
190,L1,M2,Night,71.12,1.0324,576.8,1.819,118.07,47.24,0.0,0.0
191,L1,M2,Night,69.35,1.025,589.52,2.279,125.38,37.15,0.0,0.0
192,L4,M9,Evening,72.38,1.0338,587.09,2.382,135.2,39.37,0.0,0.0
193,L4,M9,Day,75.08,1.0179,580.33,2.035,118.94,39.03,0.0,0.0
194,L3,M6,Night,66.36,0.9302,574.55,2.591,112.2,45.71,0.0,0.0
195,L2,M4,Day,74.18,1.0629,586.07,1.543,128.86,53.66,0.0,0.0
196,L2,M5,Night,71.31,1.0562,574.29,1.923,119.04,56.16,0.0,0.0
197,L3,M6,Night,69.7,0.9881,577.82,1.713,102.62,48.19,0.0,0.0
198,L4,M10,Evening,75.33,0.9817,575.13,1.253,126.78,47.5,0.0,0.0
199,L4,M9,Night,,0.9876,574.0,1.967,115.72,35.99,0.0,0.0
200,L4,M10,Night,70.22,1.0516,582.72,1.951,119.28,42.29,0.0,0.0
