record_id,loan_type,income,credit_score,debt_ratio,default_flag
107,personal,50268.52,655.0,0.413,0.0
108,credit_card,39018.17,610.0,0.511,1.0
109,personal,58851.67,731.0,0.475,1.0
110,auto,79399.85,679.0,0.398,0.0
111,auto,66937.48,,,0.0
112,auto,45327.24,734.0,0.46,0.0
113,mortgage,116422.03,666.0,0.251,0.0
114,personal,51721.47,653.0,0.456,0.0
115,auto,79045.45,681.0,0.418,0.0
116,credit_card,45389.28,691.0,0.432,1.0
117,credit_card,,627.0,0.467,0.0
118,credit_card,53325.44,731.0,0.419,0.0
119,mortgage,108360.82,656.0,0.268,0.0
120,student,31715.88,655.0,0.457,0.0
121,student,14917.99,648.0,0.52,0.0
122,mortgage,98143.87,694.0,0.253,0.0
123,auto,84554.41,638.0,0.307,0.0
124,credit_card,52789.68,,0.518,0.0
125,student,,846.0,0.57,0.0
126,student,14849.48,677.0,0.557,0.0
127,auto,48164.13,654.0,0.465,0.0
128,credit_card,44347.69,580.0,0.389,0.0
129,personal,44081.79,683.0,0.461,0.0
130,auto,66248.73,613.0,0.404,0.0
131,personal,49991.48,657.0,0.507,0.0
132,mortgage,114222.89,689.0,0.252,0.0
133,credit_card,52704.25,576.0,0.463,0.0
134,personal,60773.07,689.0,0.429,0.0
135,student,29528.05,698.0,0.532,0.0
136,mortgage,112386.84,602.0,0.172,0.0
137,auto,42555.23,656.0,0.454,0.0
138,mortgage,87815.22,570.0,0.396,0.0
139,credit_card,63796.4,775.0,0.445,0.0
140,credit_card,,700.0,0.475,0.0
141,mortgage,106178.36,669.0,0.266,0.0
142,auto,69620.79,670.0,0.418,0.0
143,student,41350.52,748.0,0.432,0.0
144,credit_card,59356.81,674.0,0.34,0.0
145,credit_card,,700.0,0.397,0.0
146,personal,65909.46,771.0,0.424,0.0
147,personal,59837.69,659.0,0.423,0.0
148,mortgage,106925.68,614.0,0.311,0.0
149,personal,48245.03,631.0,0.473,0.0
150,personal,41017.8,766.0,,0.0
151,mortgage,87085.28,685.0,0.393,0.0
152,personal,57011.34,650.0,,0.0
153,auto,35738.47,738.0,0.493,0.0
154,auto,49313.86,740.0,0.397,0.0
155,credit_card,40440.96,651.0,0.436,0.0
156,mortgage,92028.54,622.0,0.302,0.0
157,credit_card,,586.0,0.53,0.0
158,personal,63104.66,572.0,0.489,0.0
159,credit_card,,664.0,0.335,0.0
160,auto,88814.99,626.0,0.317,0.0
161,auto,77746.57,792.0,0.304,0.0
162,personal,60364.55,684.0,0.421,0.0
163,credit_card,79008.11,563.0,0.372,0.0
164,mortgage,88148.5,765.0,0.303,0.0
165,credit_card,33958.5,690.0,,0.0
166,personal,45211.71,722.0,0.456,0.0
167,auto,55100.1,721.0,0.424,0.0
168,student,,698.0,0.506,0.0
169,personal,35397.37,711.0,0.531,0.0
170,credit_card,58814.56,694.0,0.428,0.0
171,personal,54155.79,614.0,0.515,0.0
172,mortgage,94676.93,702.0,,0.0
173,personal,51738.98,741.0,0.472,0.0
174,personal,46295.39,667.0,0.354,0.0
175,student,39024.4,713.0,0.412,0.0
176,mortgage,95835.69,705.0,,0.0
177,mortgage,91814.65,789.0,0.287,0.0
178,mortgage,106155.01,665.0,0.275,0.0
179,auto,80129.86,662.0,0.318,0.0
180,auto,81049.45,673.0,0.372,0.0
181,credit_card,40116.7,674.0,0.531,0.0
182,mortgage,88586.63,544.0,0.261,0.0
183,mortgage,74582.05,641.0,0.327,1.0
184,personal,45137.22,698.0,0.383,0.0
185,credit_card,,680.0,0.438,0.0
186,personal,46406.39,632.0,0.379,0.0
187,mortgage,118170.21,640.0,0.204,0.0
188,credit_card,47129.88,659.0,0.486,0.0
189,student,,632.0,0.663,0.0
190,credit_card,,649.0,0.439,0.0
191,mortgage,96799.21,648.0,0.357,0.0
192,personal,54595.71,734.0,0.448,0.0
193,auto,68645.46,741.0,0.403,0.0
194,credit_card,54925.19,736.0,0.423,0.0
195,mortgage,69532.41,706.0,0.366,0.0
196,credit_card,43286.63,638.0,0.531,0.0
197,mortgage,87916.1,738.0,0.342,0.0
198,personal,43824.43,661.0,0.487,0.0
199,credit_card,46619.3,681.0,0.431,0.0
200,mortgage,99953.83,760.0,0.266,0.0
201,credit_card,,685.0,0.523,0.0
202,mortgage,81420.31,695.0,0.342,0.0
203,credit_card,60241.65,595.0,0.482,0.0
204,student,,709.0,0.467,0.0
205,personal,53589.24,621.0,0.478,0.0
206,credit_card,34985.27,741.0,0.515,0.0
207,mortgage,100286.99,669.0,0.262,0.0
208,credit_card,52991.15,546.0,,0.0
209,credit_card,63530.56,659.0,0.328,0.0
210,mortgage,116412.28,666.0,0.257,0.0
211,personal,67056.81,709.0,0.432,0.0
212,credit_card,53351.73,720.0,0.452,0.0
213,auto,64977.5,660.0,0.466,0.0
214,personal,55583.38,741.0,0.428,0.0
215,auto,51619.52,490.0,0.437,0.0
216,credit_card,34591.8,637.0,0.519,0.0
217,mortgage,89329.63,613.0,0.362,0.0
218,auto,79646.83,605.0,0.38,0.0
219,personal,44026.46,738.0,0.459,0.0
220,mortgage,113030.97,730.0,0.19,0.0
221,auto,31542.65,633.0,0.545,0.0
222,student,10953.52,,0.541,0.0
223,mortgage,93515.74,686.0,,0.0
224,student,,655.0,0.448,0.0
225,student,29164.52,638.0,0.522,0.0
226,mortgage,93852.17,633.0,0.264,0.0
227,credit_card,50539.1,708.0,0.391,0.0
228,credit_card,30845.23,719.0,0.481,0.0
229,auto,78896.83,694.0,0.345,0.0
230,mortgage,86806.82,557.0,0.35,0.0
231,mortgage,108074.39,698.0,0.26,0.0
232,mortgage,94153.72,714.0,0.249,0.0
233,mortgage,107817.92,640.0,0.269,0.0
234,personal,52119.1,683.0,0.459,0.0
235,personal,46719.91,568.0,0.438,0.0
236,mortgage,97715.14,606.0,0.251,0.0
237,auto,47324.27,661.0,0.419,0.0
238,student,30072.35,661.0,0.49,0.0
239,credit_card,72592.48,701.0,0.485,0.0
240,credit_card,67698.32,609.0,0.347,0.0
241,mortgage,83179.72,660.0,0.353,0.0
242,credit_card,58068.23,651.0,0.387,0.0
243,student,32975.76,712.0,0.481,0.0
244,auto,74806.26,765.0,0.332,0.0
245,mortgage,96129.83,783.0,0.336,0.0
246,credit_card,,586.0,0.472,0.0
247,student,,677.0,0.457,0.0
248,auto,67596.76,613.0,0.416,0.0
249,personal,63065.57,676.0,0.444,0.0
250,personal,59692.63,705.0,0.375,0.0
251,mortgage,91106.15,685.0,0.34,0.0
252,auto,62996.0,677.0,0.371,1.0
253,personal,71157.99,769.0,0.421,0.0
254,auto,67297.79,723.0,0.429,0.0
255,mortgage,85896.46,664.0,0.351,0.0
256,student,,681.0,0.554,0.0
257,credit_card,,732.0,0.378,0.0
258,personal,49923.52,717.0,0.437,0.0
259,mortgage,85494.9,654.0,0.37,0.0
260,auto,73095.02,573.0,0.339,0.0
261,credit_card,,609.0,0.439,0.0
262,mortgage,75074.3,689.0,0.279,0.0
263,student,37064.23,,0.506,0.0
264,mortgage,110998.29,671.0,0.195,0.0
265,auto,95718.2,653.0,0.232,0.0
266,mortgage,95418.83,,0.325,0.0
267,mortgage,97791.8,601.0,0.301,0.0
268,mortgage,114279.16,564.0,0.214,0.0
269,auto,67024.67,655.0,0.378,0.0
270,credit_card,55304.1,718.0,0.546,0.0
271,auto,57432.58,744.0,0.416,0.0
272,auto,48267.5,625.0,0.446,0.0
273,mortgage,105952.26,708.0,0.296,0.0
274,auto,49717.16,613.0,0.455,0.0
275,credit_card,65687.87,635.0,0.447,1.0
276,mortgage,85542.01,714.0,0.345,0.0
277,credit_card,55182.81,723.0,0.471,0.0
278,auto,60532.74,620.0,0.437,0.0
279,credit_card,66095.2,708.0,0.429,0.0
280,mortgage,98610.16,568.0,0.286,0.0
281,personal,71509.14,668.0,0.389,0.0
282,mortgage,81995.87,612.0,0.33,0.0
283,mortgage,99966.36,632.0,0.314,0.0
284,personal,48568.1,603.0,0.387,0.0
285,mortgage,98359.32,713.0,0.325,0.0
286,personal,67151.05,,0.443,0.0
287,student,37023.82,639.0,0.53,0.0
288,personal,34229.7,703.0,0.497,0.0
289,personal,54402.13,696.0,0.461,0.0
290,student,25012.57,672.0,0.494,0.0
291,auto,59319.74,809.0,0.461,0.0
292,personal,60550.29,630.0,0.36,0.0
293,auto,57771.92,681.0,0.454,0.0
294,student,25443.24,657.0,0.558,0.0
295,mortgage,95388.89,658.0,0.319,0.0
296,student,41354.23,690.0,0.456,0.0
297,personal,54979.08,662.0,0.471,0.0
298,personal,45187.02,628.0,0.374,0.0
299,mortgage,91733.88,687.0,0.35,0.0
300,credit_card,38078.44,751.0,,0.0
301,mortgage,85881.98,737.0,0.383,0.0
302,personal,40147.43,692.0,0.493,0.0
303,mortgage,93208.51,636.0,0.398,0.0
304,mortgage,118841.16,691.0,0.173,0.0
305,mortgage,86894.37,745.0,0.357,0.0
306,personal,44450.05,751.0,0.424,0.0
307,auto,40371.22,702.0,0.476,0.0
308,credit_card,59206.85,658.0,0.456,0.0
309,credit_card,33070.61,,0.538,0.0
310,mortgage,84120.93,726.0,0.44,0.0
311,credit_card,64508.02,721.0,0.384,0.0
312,credit_card,26740.86,575.0,0.592,0.0
313,auto,66151.04,720.0,0.383,0.0
314,auto,74611.16,723.0,0.333,0.0
315,credit_card,70305.33,627.0,0.301,0.0
316,student,18958.88,634.0,0.562,0.0
317,credit_card,44511.7,635.0,0.442,
318,student,,639.0,0.487,1.0
319,credit_card,51699.28,595.0,0.418,0.0
320,credit_card,,699.0,0.449,0.0
321,mortgage,86390.17,633.0,0.346,0.0
322,credit_card,40329.32,676.0,0.568,0.0
323,student,24723.93,650.0,0.48,0.0
324,mortgage,108058.65,695.0,0.307,1.0
325,mortgage,105653.19,619.0,0.308,0.0
326,auto,50908.76,695.0,0.436,0.0
327,auto,67575.03,703.0,0.425,0.0
328,personal,43174.08,730.0,0.459,0.0
329,mortgage,104389.28,798.0,0.387,0.0
330,student,28123.68,554.0,0.517,0.0
331,credit_card,56458.3,699.0,0.432,0.0
332,student,28096.74,637.0,0.507,0.0
333,credit_card,25754.97,564.0,,0.0
334,personal,48564.03,730.0,0.442,0.0
335,auto,49739.04,760.0,0.462,0.0
336,auto,73965.54,657.0,0.445,0.0
337,auto,56842.07,693.0,0.452,0.0
338,personal,40739.85,676.0,0.471,0.0
339,auto,64893.17,706.0,0.403,0.0
340,mortgage,101933.53,733.0,0.293,0.0
341,student,27963.07,701.0,0.505,0.0
342,student,,701.0,0.485,0.0
343,auto,84785.81,756.0,0.415,0.0
344,credit_card,,670.0,0.357,0.0
345,auto,62188.18,735.0,0.47,0.0
346,mortgage,77216.5,631.0,0.403,0.0
347,auto,79640.94,776.0,0.378,0.0
348,auto,60003.86,724.0,0.422,0.0
349,personal,48458.0,656.0,0.472,0.0
350,personal,55539.84,553.0,0.421,0.0
351,personal,28746.76,680.0,0.613,0.0
352,student,49549.45,609.0,0.416,0.0
353,auto,75499.55,698.0,,0.0
354,mortgage,99227.26,767.0,0.363,0.0
355,mortgage,105691.0,690.0,0.248,0.0
356,auto,71683.43,669.0,,0.0
357,mortgage,96401.94,701.0,0.303,0.0
358,mortgage,91306.71,697.0,0.315,0.0
359,credit_card,43130.29,,0.469,0.0
360,auto,68446.57,694.0,0.308,0.0
361,credit_card,56334.44,717.0,,1.0
362,mortgage,107998.39,664.0,0.329,0.0
363,credit_card,54407.92,,0.4,0.0
364,mortgage,84761.58,672.0,0.376,
365,auto,46085.21,726.0,0.459,0.0
366,personal,46469.25,816.0,0.407,0.0
367,credit_card,51670.5,674.0,0.494,0.0
368,auto,63822.9,563.0,0.488,0.0
369,credit_card,33633.85,660.0,0.465,0.0
370,credit_card,64893.58,576.0,0.411,0.0
371,student,42871.56,717.0,0.402,0.0
372,credit_card,42120.58,759.0,0.474,0.0
373,mortgage,104671.79,722.0,0.292,0.0
374,personal,59433.97,699.0,0.506,0.0
375,personal,48461.36,641.0,0.533,0.0
376,mortgage,83618.02,775.0,0.42,0.0
377,personal,67360.58,725.0,0.366,0.0
378,credit_card,56571.06,697.0,0.416,0.0
379,personal,44987.55,692.0,0.383,1.0
380,mortgage,104274.14,,0.233,0.0
381,auto,84466.5,707.0,0.263,0.0
382,student,24034.08,643.0,0.555,0.0
383,credit_card,,772.0,,0.0
384,personal,71317.92,689.0,0.324,0.0
385,credit_card,38601.22,716.0,0.47,0.0
386,mortgage,88408.96,654.0,0.263,0.0
387,credit_card,44825.74,702.0,0.483,1.0
388,personal,46100.07,543.0,0.477,1.0
389,credit_card,49480.32,613.0,0.436,0.0
390,mortgage,98609.55,678.0,0.251,0.0
391,mortgage,85155.49,601.0,0.266,0.0
392,auto,57528.04,826.0,0.453,0.0
393,student,,580.0,0.516,0.0
394,credit_card,53858.94,701.0,0.46,0.0
395,auto,75488.96,779.0,0.35,0.0
396,auto,69912.26,709.0,0.373,0.0
397,mortgage,104262.16,661.0,0.341,0.0
398,auto,51284.58,647.0,0.416,0.0
399,mortgage,90399.0,720.0,0.3,0.0
400,personal,70180.56,632.0,0.42,0.0
